epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.1644,2.52339,3.64013,0.00824,0.28819,0.37741,0.22213,0.07553,1.96911,6.08736,0.01164,0.000473928,0.000473928,0.000473928
2,142.846,2.31113,2.34675,0.0071,0.3734,0.41338,0.29,0.11005,2.06519,4.2858,0.01229,0.000931446,0.000931446,0.000931446
3,209.492,2.27756,2.01507,0.007,0.36596,0.41883,0.33783,0.11261,2.10695,4.07667,0.01225,0.0013701,0.0013701,0.0013701
4,275.863,2.26277,1.82356,0.00686,0.42511,0.42975,0.34089,0.13301,2.12584,3.03334,0.01291,0.00134412,0.00134412,0.00134412
5,343.116,2.25641,1.75,0.00679,0.42241,0.44327,0.38586,0.15089,2.08917,2.94105,0.01239,0.00131582,0.00131582,0.00131582
6,391.789,2.2445,1.66975,0.00682,0.44366,0.49629,0.38685,0.1441,2.11006,2.82101,0.01209,0.00128753,0.00128753,0.00128753
7,435.454,2.22441,1.61693,0.00678,0.44361,0.46449,0.38222,0.14683,2.2457,2.95253,0.0133,0.00125923,0.00125923,0.00125923
8,479.185,2.20786,1.54057,0.00673,0.51491,0.44244,0.41738,0.16138,2.3098,2.691,0.01428,0.00123094,0.00123094,0.00123094
9,522.875,2.19902,1.52996,0.00667,0.47396,0.44674,0.39191,0.14794,2.24644,2.65217,0.01329,0.00120265,0.00120265,0.00120265
10,566.487,2.19118,1.49884,0.00661,0.48966,0.49668,0.43139,0.15967,2.16565,2.66639,0.0125,0.00117435,0.00117435,0.00117435
11,610.145,2.1757,1.45428,0.00667,0.45329,0.51598,0.41792,0.16905,2.22931,2.54899,0.01338,0.00114606,0.00114606,0.00114606
12,653.906,2.15582,1.42847,0.00636,0.49555,0.50519,0.46227,0.17697,2.24104,2.62793,0.013,0.00111776,0.00111776,0.00111776
13,697.891,2.19027,1.41718,0.0066,0.50834,0.53356,0.46536,0.17787,2.30123,2.77066,0.0138,0.00108947,0.00108947,0.00108947
14,742.27,2.14485,1.3883,0.00641,0.53883,0.55466,0.4884,0.19608,2.22653,2.28254,0.01369,0.00106118,0.00106118,0.00106118
15,787.111,2.14848,1.35569,0.00647,0.42791,0.53902,0.42281,0.17368,2.13012,2.80024,0.01277,0.00103288,0.00103288,0.00103288
16,830.825,2.17244,1.34154,0.00642,0.51338,0.50114,0.4503,0.18423,2.23098,2.29401,0.01342,0.00100459,0.00100459,0.00100459
17,874.6,2.15132,1.3139,0.00639,0.53151,0.52067,0.45335,0.17919,2.23966,2.66774,0.01347,0.000976293,0.000976293,0.000976293
18,918.292,2.13378,1.29791,0.00644,0.53628,0.46991,0.42994,0.17062,2.37766,2.77984,0.01458,0.000947999,0.000947999,0.000947999
19,961.956,2.11904,1.29647,0.00637,0.50077,0.5467,0.50105,0.19946,2.24875,2.59529,0.01364,0.000919704,0.000919704,0.000919704
20,1005.67,2.13161,1.27869,0.00634,0.55799,0.5266,0.48357,0.1991,2.22414,2.48614,0.0131,0.00089141,0.00089141,0.00089141
21,1049.35,2.10362,1.25763,0.00624,0.52125,0.47978,0.4574,0.17922,2.29258,2.47071,0.01365,0.000863116,0.000863116,0.000863116
22,1092.88,2.0919,1.24641,0.00629,0.54465,0.49895,0.47266,0.19822,2.1924,2.48049,0.01309,0.000834822,0.000834822,0.000834822
23,1136.49,2.10321,1.2174,0.00628,0.52075,0.53398,0.46437,0.19017,2.22757,2.4766,0.01344,0.000806528,0.000806528,0.000806528
24,1180.1,2.08509,1.22456,0.0063,0.53853,0.52418,0.46353,0.19053,2.24144,2.30152,0.0132,0.000778233,0.000778233,0.000778233
25,1223.73,2.075,1.19124,0.00617,0.51816,0.51794,0.45565,0.18911,2.18772,2.35958,0.0129,0.000749939,0.000749939,0.000749939
